0,0.1,aafoldname,acc,activation_function,batch_size,bias,class_weight,dropout_rate,dropout_rate_dense,eeg_length,epoch,epochs,foldname,initial_epoch,kernel_size,load_path,loss,lr,lr_decay,maxnorm,num_classes,padding,random_seed,shuffle,subsam,trainable,val_acc,val_loss
,,,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,allDataChannel1,0.0,16.0,False,,0.0001,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,allDataChannel1,0.0,16.0,False,,0.0001,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,allDataChannel1,0.0,16.0,False,,0.0001,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,allDataChannel1,0.0,16.0,False,,0.0001,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,allDataChannel1,0.0,16.0,False,,0.0001,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,allDataChannel1,0.0,16.0,False,,0.0001,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,allDataChannel1,0.0,16.0,False,,0.0001,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,0.825477107,relu,128.0,True,1.0,0.5,0.0,3000.0,1.0,2.0,,0.0,16.0,False,0.477169528,0.0008525389999999999,1e-05,4.0,7.0,valid,5.0,True,2.0,True,0.681183942,1.463657811
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,0.824813201,relu,128.0,True,1.0,0.5,0.0,3000.0,1.0,2.0,,0.0,16.0,False,0.478612121,0.0008525389999999999,1e-05,4.0,7.0,valid,5.0,True,2.0,True,0.664959206,1.886090522
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,2.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,allDataChannel1,0.7910143283099214,relu,128.0,True,1.0,0.5,0.0,3000.0,0.0,1.0,,0.0,16.0,False,0.5767672482317713,0.0006910841329954567,1e-05,4.0,7.0,valid,5.0,True,2.0,True,0.7344706100500649,0.8881486440707747
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,allDataChannel1,,relu,128.0,True,1.0,0.5,0.0,3000.0,,1.0,,0.0,16.0,False,,,1e-05,4.0,7.0,valid,5.0,True,2.0,True,,
,,newallDataChannel1,0.7915092403724976,relu,128.0,True,,0.5,0.0,3000.0,0.0,1.0,,0.0,16.0,False,0.5781042558212294,0.0006910841329954566,1e-05,4.0,7.0,valid,5.0,True,2.0,True,0.7659465974411274,0.7173145663033947
