PerPatientAccuracy,aafoldname,acc,activation_function,batch_size,beginning here,bias,dropout_rate,dropout_rate_dense,eeg_length,epoch,epochs,initial_epoch,kernel_size,load_path,loss,lr,lr_decay,maxnorm,num_classes,padding,random_seed,shuffle,subsam,trainable,val_acc,val_loss
,newallDataChannel1,0.7914609562688316,relu,128.0,,True,0.5,0.0,3000.0,0.0,1.0,0.0,16.0,False,0.5769613076449692,0.0006910841329954568,1e-05,4.0,7.0,valid,5.0,True,2.0,True,0.7894724643055813,0.6761949583352712
0.6465098521116319,EOG,0.8018551957129544,relu,1024.0,,True,0.5,0.0,3000.0,0.0,1.0,0.0,16.0,False,0.5847132149858111,0.0006451652734540402,1e-05,4.0,7.0,valid,5.0,True,2.0,True,0.6679270180258419,1.8308549389720712
0.6384028192549365,EOG,0.8019571295433364,relu,1024.0,,True,0.5,0.0,3000.0,0.0,1.0,0.0,16.0,False,0.5843908973975595,0.0006451652734540402,1e-05,4.0,7.0,valid,5.0,True,2.0,True,0.6590199710696171,2.0339294105838537
0.5310923236982129,EOG,0.8066752096924511,relu,1024.0,,True,0.5,0.0,3000.0,0.0,100.0,0.0,16.0,False,0.5682843189620572,0.0008115045493468642,1e-05,400000000000.0,7.0,valid,5.0,True,2.0,True,0.5724363691745021,1.0670131372813143
0.7191008653138449,,0.8438373718546133,,,,,,,,1.0,,,,,0.4288313598107314,0.0009398341062478721,,,,,,,,,0.7572766260073815,1.1255981637824597
0.7528149993633909,,0.8666123019571296,,,,,,,,2.0,,,,,0.35281526692426884,0.0009798508835956452,,,,,,,,,0.7985890831578146,1.0232610226364371
0.680090160746451,,0.8802423112767941,,,,,,,,3.0,,,,,0.3127282023332659,0.0009931590175256133,,,,,,,,,0.7322810668155404,1.3552042812609095
0.7889880030109392,,0.8865476467847158,,,,,,,,4.0,,,,,0.29585020828780345,0.0009976669680327175,,,,,,,,,0.8433527038343441,0.4631906358820289
0.6747636029037882,EOG,0.8071994408201305,relu,1024.0,,True,0.45,0.0,3000.0,0.0,30.0,0.0,16.0,False,0.5675725046430696,0.0008115045493468642,5e-06,400000000000.0,7.0,valid,5.0,True,2.0,True,0.7306062375037761,0.7571086545537716
0.6863481623674049,,0.8455265610438024,,,,,,,,1.0,,,,,0.4228747626358621,0.0009398341062478721,,,,,,,,,0.7193645799241983,1.6363731083166917
0.6631569042820051,,0.8687529123951537,,,,,,,,2.0,,,,,0.34914876547019724,0.0009798508835956452,,,,,,,,,0.7227142385870531,1.814777376976174
0.6754872137476501,,0.8808247903075489,,,,,,,,3.0,,,,,0.31191944515632897,0.0009931590175256133,,,,,,,,,0.7369249118176974,1.2149116649932594
0.7897216581121648,,0.8858777958993477,,,,,,,,4.0,,,,,0.2968910431206393,0.0009976669680327175,,,,,,,,,0.8401553023574492,0.48597619735606
0.187570525923693,EOGADG,0.8096312907735321,relu,1024.0,,True,0.45,0.0,3000.0,0.0,1.0,0.0,16.0,False,0.5527256566402741,0.0008115045493468642,5e-06,400000000000.0,7.0,valid,5.0,True,2.0,True,0.303905397511401,2.6713704250874497
0.187570525923693,EOGADG,0.8131844128611371,relu,64.0,,True,0.45,0.0,3000.0,0.0,1.0,0.0,16.0,False,0.5399681935078167,0.0008115045493468642,4.9999999999999996e-06,400000000000.0,7.0,valid,5.0,True,2.0,True,0.6901311949487235,1.0403970660774184
